ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,label
-120,-120,-120,-91,-82,-120,-120,-120,-120,-120,-120,2
-120,-70,-77,-80,-82,-120,-120,-120,-120,-120,-120,2
-72,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-77,-71,-87,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,2
-120,-120,-120,-120,-93,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-90,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-89,-120,-120,-120,-120,-120,-120,-120,-120,2
-83,-83,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-93,-93,-120,-120,-120,-120,-120,-120,2
-73,-78,-81,-120,-95,-120,-91,-120,-120,-120,-120,2
-120,-120,-120,-89,-120,-120,-120,-120,-120,-120,-120,2
-120,-68,-79,-120,-83,-120,-86,-120,-120,-120,-120,2
-75,-120,-120,-95,-120,-120,-120,-120,-120,-120,-120,2
-75,-73,-120,-88,-83,-120,-120,-120,-120,-120,-120,2
-120,-120,-82,-120,-120,-120,-86,-120,-120,-120,-120,2
-74,-68,-87,-91,-89,-120,-85,-120,-120,-120,-120,2
-77,-120,-76,-93,-90,-120,-120,-120,-120,-120,-120,2
-120,-68,-120,-120,-120,-120,-85,-120,-120,-120,-120,2
-75,-69,-88,-120,-80,-120,-85,-120,-120,-120,-120,2
-120,-120,-120,-86,-120,-120,-120,-120,-120,-120,-120,2
-120,-68,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-73,-120,-120,-89,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-85,-120,-81,-120,-89,-120,-120,-120,-120,2
-76,-120,-78,-86,-93,-120,-93,-120,-120,-120,-120,2
-120,-76,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-74,-120,-78,-87,-120,-120,-86,-120,-120,-120,-120,2
-120,-75,-120,-120,-81,-120,-120,-120,-120,-120,-120,2
-75,-73,-79,-93,-81,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-85,-120,-120,-120,-120,2
-120,-66,-120,-88,-81,-120,-85,-120,-120,-120,-120,2
-77,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,2
-120,-120,-81,-79,-120,-120,-93,-99,-120,-120,-120,2
-79,-70,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-95,-120,-120,-120,-120,-120,-120,2
-120,-78,-76,-120,-120,-120,-120,-120,-120,-120,-120,2
-88,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-88,-91,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-94,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,2
-97,-72,-120,-95,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-90,-120,-120,-120,-92,-120,-120,-120,-120,2
-120,-120,-120,-120,-87,-120,-120,-120,-120,-120,-120,2
-85,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-68,-71,-85,-89,-120,-90,-120,-120,-120,-120,2
-120,-67,-120,-79,-80,-120,-120,-120,-120,-120,-120,2
-75,-120,-77,-120,-120,-120,-93,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-70,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-69,-77,-79,-89,-120,-85,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-97,-120,-120,-120,-120,-120,2
-75,-75,-85,-91,-86,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-95,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-98,-120,-120,-120,-120,2
-90,-64,-120,-120,-86,-120,-120,-120,-120,-120,-120,2
-120,-120,-88,-97,-120,-120,-93,-120,-120,-120,-120,2
-88,-73,-120,-89,-87,-120,-120,-95,-120,-120,-120,2
-120,-120,-80,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-89,-120,-120,-120,-120,2
-75,-120,-79,-90,-87,-120,-93,-120,-120,-120,-120,2
-120,-68,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-78,-90,-120,-87,-120,-120,-120,-120,-120,-120,2
-75,-120,-120,-92,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-87,-120,-120,-120,-120,2
-75,-79,-120,-82,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-77,-120,-90,-91,-120,-94,-120,-120,-120,2
-120,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-76,-80,-120,-94,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-90,-120,-120,-120,-120,2
-120,-120,-120,-120,-92,-120,-120,-91,-120,-120,-120,2
-86,-120,-86,-120,-87,-120,-120,-120,-120,-120,-120,2
-120,-66,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,-120,2
-70,-95,-82,-89,-120,-120,-96,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,2
-120,-120,-120,-120,-99,-120,-120,-120,-120,-120,-120,2
-91,-72,-80,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-87,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-91,-120,-120,-120,-120,2
-120,-120,-120,-120,-89,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-120,-86,-82,-96,-120,-120,-120,-120,-120,-120,-120,2
-76,-120,-120,-120,-97,-120,-93,-120,-120,-120,-120,2
-84,-72,-120,-91,-120,-120,-94,-120,-120,-120,-120,2
-120,-120,-84,-120,-87,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-81,-72,-78,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-91,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-90,-120,-120,-93,-120,-120,-120,-120,2
-120,-79,-120,-96,-120,-120,-120,-120,-120,-120,-120,2
-81,-120,-82,-120,-92,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-87,-93,-120,-120,-120,2
-120,-120,-120,-120,-120,-98,-120,-120,-120,-120,-120,2
-120,-71,-73,-120,-120,-120,-85,-120,-120,-120,-120,2
-87,-120,-120,-83,-120,-92,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-85,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-95,-120,-120,-120,2
-87,-86,-72,-82,-120,-97,-89,-120,-120,-120,-120,2
-120,-120,-120,-120,-77,-120,-120,-120,-120,-120,-120,2
