time,BLE01,BLE02,BLE03,BLE04,BLE05,BLE06,BLE07,BLE08,BLE09,BLE10,room
00:02:17,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200,B
00:02:18,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,B
00:02:19,-73,-71,-200,-200,-82,-96,-200,-200,-200,-200,B
00:02:20,-200,-200,-91,-200,-200,-200,-94,-94,-200,-200,B
00:02:21,-72,-200,-200,-200,-200,-200,-95,-200,-200,-200,B
00:02:22,-200,-64,-200,-78,-80,-200,-200,-200,-200,-200,B
00:02:23,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,B
00:02:24,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,B
00:02:25,-79,-76,-200,-85,-200,-200,-200,-200,-200,-200,B
00:02:26,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,B
00:02:27,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,B
00:02:28,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,B
00:02:29,-69,-200,-200,-200,-85,-200,-200,-200,-200,-200,B
00:02:30,-200,-66,-86,-200,-200,-200,-200,-200,-200,-200,B
00:02:31,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,B
00:02:32,-74,-64,-81,-83,-80,-200,-200,-200,-200,-200,B
00:02:33,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,B
00:02:34,-87,-64,-84,-82,-82,-200,-200,-200,-200,-200,B
00:02:35,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,B
00:02:36,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,B
00:02:37,-74,-76,-200,-200,-76,-200,-97,-200,-200,-200,B
00:02:38,-200,-200,-84,-94,-200,-200,-200,-200,-200,-200,B
00:02:39,-88,-63,-200,-200,-80,-200,-200,-200,-200,-200,B
00:02:40,-200,-200,-83,-81,-200,-200,-200,-200,-200,-200,B
00:02:41,-90,-63,-200,-200,-76,-200,-200,-200,-200,-200,B
00:02:42,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,B
00:02:43,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200,B
00:02:44,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200,B
00:02:45,-200,-75,-88,-82,-76,-200,-200,-200,-200,-200,B
00:02:46,-91,-200,-200,-200,-200,-200,-200,-100,-200,-200,B
00:02:47,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,B
00:02:48,-74,-200,-95,-200,-200,-200,-200,-98,-200,-200,B
00:02:49,-200,-65,-200,-95,-75,-200,-200,-200,-200,-200,B
00:02:50,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,B
00:02:51,-74,-64,-92,-200,-75,-200,-97,-97,-200,-200,B
00:02:52,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,B
00:02:53,-88,-65,-200,-200,-75,-98,-200,-200,-200,-200,B
00:02:54,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,B
00:02:55,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,B
00:02:56,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,B
00:02:57,-200,-66,-89,-82,-78,-200,-200,-200,-200,-200,B
00:02:58,-88,-200,-200,-200,-200,-200,-200,-98,-200,-200,B
00:02:59,-68,-76,-79,-200,-200,-200,-92,-97,-200,-200,B
00:03:00,-200,-200,-200,-91,-82,-200,-200,-200,-200,-200,B
00:03:01,-200,-70,-77,-80,-82,-200,-200,-200,-200,-200,B
00:03:02,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:03,-77,-71,-87,-200,-200,-200,-200,-200,-200,-200,B
00:03:04,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,B
00:03:05,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,B
00:03:06,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,B
00:03:07,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,B
00:03:08,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:09,-200,-200,-200,-93,-93,-200,-200,-200,-200,-200,B
00:03:10,-73,-78,-81,-200,-95,-200,-91,-200,-200,-200,B
00:03:11,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,B
00:03:12,-200,-68,-79,-200,-83,-200,-86,-200,-200,-200,B
00:03:13,-75,-200,-200,-95,-200,-200,-200,-200,-200,-200,B
00:03:14,-75,-73,-200,-88,-83,-200,-200,-200,-200,-200,B
00:03:15,-200,-200,-82,-200,-200,-200,-86,-200,-200,-200,B
00:03:16,-74,-68,-87,-91,-89,-200,-85,-200,-200,-200,B
00:03:17,-77,-200,-76,-93,-90,-200,-200,-200,-200,-200,B
00:03:18,-200,-68,-200,-200,-200,-200,-85,-200,-200,-200,B
00:03:19,-75,-69,-88,-200,-80,-200,-85,-200,-200,-200,B
00:03:20,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,B
00:03:21,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:22,-73,-200,-200,-89,-200,-200,-200,-200,-200,-200,B
00:03:23,-200,-200,-85,-200,-81,-200,-89,-200,-200,-200,B
00:03:24,-76,-200,-78,-86,-93,-200,-93,-200,-200,-200,B
00:03:25,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:26,-74,-200,-78,-87,-200,-200,-86,-200,-200,-200,B
00:03:27,-200,-75,-200,-200,-81,-200,-200,-200,-200,-200,B
00:03:28,-75,-73,-79,-93,-81,-200,-200,-200,-200,-200,B
00:03:29,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,B
00:03:30,-200,-66,-200,-88,-81,-200,-85,-200,-200,-200,B
00:03:31,-77,-200,-84,-200,-200,-200,-200,-200,-200,-200,B
00:03:32,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,B
00:03:33,-200,-200,-81,-79,-200,-200,-93,-99,-200,-200,B
00:03:34,-79,-70,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:35,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,B
00:03:36,-200,-78,-76,-200,-200,-200,-200,-200,-200,-200,B
00:03:37,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:38,-200,-200,-200,-88,-91,-200,-200,-200,-200,-200,B
00:03:39,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,B
00:03:40,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,B
00:03:41,-97,-72,-200,-95,-200,-200,-200,-200,-200,-200,B
00:03:42,-200,-200,-90,-200,-200,-200,-92,-200,-200,-200,B
00:03:43,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,B
00:03:44,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:45,-200,-68,-71,-85,-89,-200,-90,-200,-200,-200,B
00:03:46,-200,-67,-200,-79,-80,-200,-200,-200,-200,-200,B
00:03:47,-75,-200,-77,-200,-200,-200,-93,-200,-200,-200,B
00:03:48,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,B
00:03:49,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,B
00:03:50,-200,-69,-77,-79,-89,-200,-85,-200,-200,-200,B
00:03:51,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,B
00:03:52,-75,-75,-85,-91,-86,-200,-200,-200,-200,-200,B
00:03:53,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,B
00:03:54,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,B
00:03:55,-90,-64,-200,-200,-86,-200,-200,-200,-200,-200,B
00:03:56,-200,-200,-88,-97,-200,-200,-93,-200,-200,-200,B
00:03:57,-88,-73,-200,-89,-87,-200,-200,-95,-200,-200,B
00:03:58,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,B
00:03:59,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,B
00:04:00,-75,-200,-79,-90,-87,-200,-93,-200,-200,-200,B
00:04:01,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,B
00:04:02,-200,-78,-90,-200,-87,-200,-200,-200,-200,-200,B
00:04:03,-75,-200,-200,-92,-200,-200,-200,-200,-200,-200,B
00:04:04,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,B
00:04:05,-75,-79,-200,-82,-200,-200,-200,-200,-200,-200,B
00:04:06,-200,-200,-77,-200,-90,-91,-200,-94,-200,-200,B
00:04:07,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,B
00:04:08,-76,-80,-200,-94,-200,-200,-200,-200,-200,-200,B
00:04:09,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,B
00:04:10,-200,-200,-200,-200,-92,-200,-200,-91,-200,-200,B
00:04:11,-86,-200,-86,-200,-87,-200,-200,-200,-200,-200,B
00:04:12,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,B
00:04:13,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,B
00:04:14,-70,-95,-82,-89,-200,-200,-96,-200,-200,-200,B
00:04:15,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,B
00:04:16,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,B
00:04:17,-91,-72,-80,-200,-200,-200,-200,-200,-200,-200,B
00:04:18,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,B
00:04:19,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,B
00:04:20,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,B
00:04:21,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,B
00:04:22,-200,-86,-82,-96,-200,-200,-200,-200,-200,-200,B
00:04:23,-76,-200,-200,-200,-97,-200,-93,-200,-200,-200,B
00:04:24,-84,-72,-200,-91,-200,-200,-94,-200,-200,-200,B
00:04:25,-200,-200,-84,-200,-87,-200,-200,-200,-200,-200,B
00:04:26,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,B
00:04:27,-81,-72,-78,-200,-200,-200,-200,-200,-200,-200,B
00:04:28,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,B
00:04:29,-200,-200,-200,-90,-200,-200,-93,-200,-200,-200,B
00:04:30,-200,-79,-200,-96,-200,-200,-200,-200,-200,-200,B
00:04:31,-81,-200,-82,-200,-92,-200,-200,-200,-200,-200,B
00:04:32,-200,-200,-200,-200,-200,-200,-87,-93,-200,-200,B
00:04:33,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,B
00:04:34,-200,-71,-73,-200,-200,-200,-85,-200,-200,-200,B
00:04:35,-87,-200,-200,-83,-200,-92,-200,-200,-200,-200,B
00:04:36,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,B
00:04:37,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,B
00:04:38,-87,-86,-72,-82,-200,-97,-89,-200,-200,-200,B
00:04:39,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,B
00:04:40,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,B
00:04:41,-82,-91,-82,-79,-79,-93,-89,-200,-200,-200,C
00:04:42,-94,-200,-72,-79,-87,-200,-200,-200,-200,-98,C
00:04:43,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,C
00:04:44,-200,-200,-200,-200,-200,-200,-98,-94,-200,-200,C
00:04:45,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,C
00:04:46,-83,-89,-71,-73,-79,-200,-200,-94,-200,-200,C
00:04:47,-200,-200,-200,-200,-200,-95,-86,-200,-200,-200,C
00:04:48,-82,-200,-77,-200,-80,-200,-200,-93,-200,-200,C
00:04:49,-200,-90,-200,-200,-200,-94,-200,-200,-200,-200,C
00:04:50,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,C
00:04:51,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,C
00:04:52,-200,-81,-70,-86,-83,-200,-88,-96,-200,-200,C
00:04:53,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,C
00:04:54,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,C
00:04:55,-200,-200,-77,-81,-200,-94,-200,-200,-200,-200,C
00:04:56,-83,-200,-200,-200,-88,-200,-87,-200,-200,-200,C
00:04:57,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,C
00:04:58,-82,-76,-78,-91,-82,-95,-200,-91,-200,-200,C
00:04:59,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,C
00:05:00,-85,-87,-73,-85,-84,-200,-91,-200,-200,-200,C
00:05:01,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,C
00:05:02,-200,-200,-200,-75,-79,-200,-95,-94,-200,-200,C
00:05:03,-81,-79,-73,-200,-200,-200,-200,-200,-200,-200,C
00:05:04,-80,-200,-71,-200,-200,-200,-96,-94,-200,-200,C
00:05:05,-200,-79,-200,-82,-79,-200,-200,-200,-200,-200,C
00:05:06,-80,-200,-79,-80,-85,-200,-200,-200,-200,-200,C
00:05:07,-200,-80,-200,-200,-200,-200,-200,-96,-200,-200,C
00:05:08,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,C
00:05:09,-89,-200,-66,-83,-81,-200,-88,-200,-200,-200,C
00:05:10,-200,-80,-200,-200,-200,-95,-200,-200,-200,-200,C
00:05:11,-82,-88,-66,-200,-200,-200,-200,-91,-200,-200,C
00:05:12,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,C
00:05:13,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,C
00:05:14,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,C
00:05:15,-81,-77,-72,-200,-200,-200,-200,-200,-200,-200,C
00:05:16,-200,-200,-200,-77,-86,-200,-200,-200,-200,-200,C
00:05:17,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,C
00:05:18,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,C
00:05:19,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,C
00:05:20,-84,-77,-69,-70,-76,-200,-200,-93,-200,-98,C
00:05:21,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,C
00:05:22,-200,-200,-200,-200,-200,-101,-200,-200,-200,-200,C
00:05:23,-82,-84,-70,-78,-200,-200,-200,-200,-200,-200,C
00:05:24,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,C
00:05:25,-77,-78,-69,-70,-200,-200,-200,-200,-200,-200,C
00:05:26,-200,-200,-200,-200,-77,-200,-89,-200,-200,-96,C
00:05:27,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,C
00:05:28,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,C
00:05:29,-200,-79,-70,-200,-85,-200,-92,-200,-200,-200,C
00:05:30,-83,-200,-200,-72,-200,-95,-200,-200,-200,-200,C
00:05:31,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,C
00:05:32,-79,-79,-69,-71,-91,-200,-200,-96,-200,-200,C
00:05:33,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,C
00:05:34,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,C
00:05:35,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,C
00:05:36,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,C
00:05:37,-200,-77,-69,-200,-200,-200,-200,-200,-200,-200,C
00:05:38,-200,-200,-200,-200,-76,-200,-200,-95,-200,-96,C
00:05:39,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,C
00:05:40,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,C
00:05:41,-77,-200,-71,-200,-200,-200,-200,-200,-200,-200,C
00:05:42,-200,-78,-200,-94,-76,-200,-200,-94,-200,-200,C
00:05:43,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,C
00:05:44,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,C
00:05:45,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,C
00:05:46,-90,-200,-65,-83,-200,-200,-200,-98,-200,-200,C
00:05:47,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,C
00:05:48,-200,-200,-200,-200,-200,-94,-86,-200,-200,-200,C
00:05:49,-87,-83,-76,-200,-200,-200,-200,-200,-200,-200,C
00:05:50,-200,-200,-200,-76,-200,-200,-200,-90,-200,-200,C
00:05:51,-200,-200,-200,-200,-79,-200,-90,-200,-200,-200,C
00:05:52,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,C
00:05:53,-200,-90,-69,-200,-85,-200,-200,-200,-200,-200,C
00:05:54,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,C
00:05:55,-87,-200,-200,-94,-200,-92,-200,-94,-200,-200,C
00:05:56,-200,-200,-71,-77,-79,-200,-200,-200,-200,-200,C
00:05:57,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,C
00:05:58,-200,-200,-200,-200,-200,-94,-92,-200,-200,-200,C
00:05:59,-87,-81,-200,-78,-92,-200,-200,-200,-200,-200,C
00:06:00,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,C
00:06:01,-80,-200,-84,-200,-200,-200,-200,-200,-200,-200,C
